                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2162,                 2.1217,                 1.2015,                0.66613,                0.69436,                 0.7244,                0.46014,                 1.2278,                 1.5269,                 1.2101,             0.00041543,             0.00041543,             0.00041543
                      2,                 1.2189,                 1.4678,                 1.2069,                0.74193,                0.75498,                0.81699,                0.55391,                 1.1206,                 1.1006,                 1.1457,             0.00082386,             0.00082386,             0.00082386
                      3,                 1.2108,                 1.2464,                 1.2166,                0.86482,                0.72821,                0.85036,                0.58748,                 1.1041,                 0.9232,                 1.1375,               0.001224,               0.001224,               0.001224
                      4,                 1.1959,                 1.1342,                 1.2082,                 0.7923,                0.76948,                 0.8419,                0.60115,                 1.0777,                0.91808,                 1.1346,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1824,                 1.0586,                 1.1914,                0.89229,                0.80332,                0.89547,                0.64366,                 1.0432,                0.81528,                 1.1056,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.1377,                0.98498,                 1.1737,                0.84885,                0.82881,                0.90323,                 0.6558,                 1.0468,                0.81887,                 1.0993,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.1234,                0.93504,                 1.1667,                 0.9003,                0.82372,                0.91152,                0.65948,                 1.0373,                 0.7355,                 1.0946,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.1002,                0.90727,                 1.1572,                0.86393,                0.83388,                0.91035,                0.65927,                 1.0251,                0.73915,                  1.103,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.0831,                0.86182,                  1.138,                 0.9082,                 0.8525,                 0.9273,                 0.6867,                0.99224,                0.65401,                 1.0752,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.0711,                0.84835,                 1.1355,                0.92604,                0.85991,                0.93393,                0.70713,                0.96521,                0.64125,                  1.058,               0.001151,               0.001151,               0.001151
                     11,                 1.0599,                0.82575,                 1.1334,                0.89833,                0.84105,                 0.9157,                0.69978,                0.94487,                0.66677,                  1.042,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.0463,                0.81119,                 1.1285,                0.91648,                0.90759,                0.95271,                0.72479,                0.92894,                0.57332,                 1.0453,              0.0011263,              0.0011263,              0.0011263
                     13,                  1.034,                0.78026,                 1.1204,                0.89579,                0.85518,                 0.9218,                0.68767,                0.97773,                0.64264,                 1.0714,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.0268,                0.76057,                 1.1161,                0.91878,                0.88249,                0.93745,                0.70692,                0.93858,                0.59846,                 1.0425,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0092,                0.73786,                 1.1052,                0.93478,                0.90041,                0.95386,                0.73282,                0.94621,                0.57695,                 1.0504,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.0084,                0.72792,                 1.1097,                 0.9545,                0.88781,                0.94757,                0.72371,                0.91073,                  0.555,                 1.0271,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.0054,                0.72421,                 1.0987,                0.93805,                0.90971,                0.95838,                0.73299,                0.94309,                0.54202,                 1.0302,              0.0010644,              0.0010644,              0.0010644
                     18,                0.99714,                0.71248,                 1.0936,                0.95569,                0.91518,                0.96147,                0.74218,                0.90909,                 0.5218,                 1.0321,               0.001052,               0.001052,               0.001052
                     19,                0.99737,                0.70018,                 1.1014,                0.94872,                0.94592,                0.96294,                0.74372,                0.89662,                0.53925,                 1.0224,              0.0010396,              0.0010396,              0.0010396
                     20,                0.98497,                0.69685,                 1.0952,                0.92985,                0.93102,                0.96223,                0.74426,                0.90778,                0.52132,                 1.0201,              0.0010273,              0.0010273,              0.0010273
                     21,                0.96258,                0.67222,                 1.0776,                0.94344,                0.91391,                0.96514,                0.74969,                0.91088,                0.51371,                  1.022,              0.0010149,              0.0010149,              0.0010149
                     22,                0.96348,                0.67353,                 1.0765,                0.96309,                0.93095,                0.96884,                0.74681,                0.89346,                0.50453,                  1.009,              0.0010025,              0.0010025,              0.0010025
                     23,                0.95965,                0.66699,                 1.0753,                0.94967,                 0.9194,                 0.9709,                0.75756,                0.89192,                0.49737,                0.99422,             0.00099013,             0.00099013,             0.00099013
                     24,                0.95693,                0.65787,                 1.0766,                0.92814,                0.92187,                0.96136,                0.75739,                0.88772,                0.50738,                 1.0072,             0.00097775,             0.00097775,             0.00097775
                     25,                0.95492,                0.66761,                 1.0764,                 0.9516,                0.91643,                0.96284,                0.75397,                0.88712,                0.50187,                 1.0047,             0.00096537,             0.00096537,             0.00096537
                     26,                0.95041,                0.64997,                 1.0725,                0.95021,                0.93391,                0.97122,                0.76775,                0.89361,                0.48221,                 1.0092,               0.000953,               0.000953,               0.000953
                     27,                0.93405,                 0.6355,                 1.0632,                0.96505,                0.91815,                0.97559,                0.77757,                0.86717,                0.48282,                0.98989,             0.00094062,             0.00094062,             0.00094062
                     28,                0.94503,                 0.6424,                 1.0739,                0.97001,                0.91831,                0.97146,                0.76905,                0.87756,                0.48466,                 0.9954,             0.00092825,             0.00092825,             0.00092825
                     29,                0.93521,                0.63402,                 1.0643,                0.95126,                0.95192,                0.97586,                0.77622,                0.86114,                 0.4544,                0.98701,             0.00091588,             0.00091588,             0.00091588
                     30,                0.93549,                0.62343,                 1.0646,                0.95452,                0.93682,                0.96873,                0.77088,                0.86167,                0.45355,                0.98455,              0.0009035,              0.0009035,              0.0009035
                     31,                0.92014,                0.60792,                 1.0565,                0.95808,                0.93875,                0.97095,                0.77001,                0.87921,                0.47541,                0.99011,             0.00089112,             0.00089112,             0.00089112
                     32,                0.91698,                 0.6141,                 1.0538,                0.95421,                0.95812,                0.97494,                0.78306,                0.86183,                0.44605,                0.98562,             0.00087875,             0.00087875,             0.00087875
                     33,                0.91753,                0.60415,                 1.0529,                0.96971,                0.94275,                0.97904,                0.78225,                0.85575,                0.43438,                0.98371,             0.00086637,             0.00086637,             0.00086637
